0,4,7,11.758012,40412.598914
1,4,6,13.786473,1978439.189642
2,4,5,14.066709,87334.480743
3,4,7,14.846177,12148251.479706
3,4,7,26.846177,20283834.130016
4,4,6,15.475848,3940625.164362
5,4,8,16.994718,26755.662624
6,4,6,20.051377,11930060.185313
7,4,5,20.438710,114129.586519
8,4,6,20.825408,11948571.896760
9,4,8,20.892945,43235.501165
10,4,8,21.851355,2006992.217471
11,4,5,22.506404,2107828.815377
12,4,5,22.691571,4036755.530335
13,4,6,26.056279,14760715.249295
14,4,6,28.985070,15369434.024812
15,4,5,29.620514,4059272.273453
16,4,8,30.019278,2033198.781365
17,4,8,34.886049,9947860.128522
18,4,8,35.844685,12010285.849674
19,4,6,38.550105,17395207.888984
20,4,6,39.423609,17491541.271730
21,4,7,39.799361,20367542.947295
22,4,5,40.328730,4158521.783240
23,4,5,40.400831,6020428.471005
24,4,6,40.567870,18098412.259194
25,4,5,41.208560,6042632.297841
26,4,7,43.594908,32421086.064044
26,4,7,55.594908,44575712.404401
26,4,7,67.594908,63390978.514525
26,4,7,79.594908,78246988.724913
26,4,7,91.594908,92906922.922568
27,4,8,44.019680,12033851.305593
28,4,7,44.896752,32513708.037660
29,4,7,45.251728,32535819.337876
30,4,5,45.345686,18034251.312679
30,4,5,57.345686,34856876.300886
30,4,5,69.345686,47309617.370806
30,4,5,81.345686,71110305.968604
30,4,5,93.345686,98377110.653008
30,4,5,105.345686,146521522.676401
30,4,5,117.345686,184191535.471123
30,4,5,129.345686,198996713.841335
30,4,5,141.345686,210863898.553720
30,4,5,153.345686,224855888.132892
30,4,5,165.345686,232209223.073668
31,4,6,45.617235,20119706.119551
32,4,7,46.954918,32625734.080602
33,4,8,50.002691,12060941.300149
34,4,5,50.309105,20876910.002757
35,4,5,51.423133,20898258.111959
36,4,6,51.880989,22060213.029111
37,4,7,52.160160,32649570.517128
38,4,5,52.169163,22844317.930073
39,4,6,53.176093,34171535.297549
39,4,6,65.176093,71689393.872923
39,4,6,77.176093,94158816.371351
39,4,6,89.176093,107143122.170525
39,4,6,101.176093,122048412.622480
40,4,6,54.574303,36994631.414039
41,4,8,54.591907,14024698.459427
42,4,6,54.916723,37624961.567470
43,4,6,55.199941,45562586.124431
44,4,6,55.628390,57509785.835303
44,4,6,67.628390,79776063.227380
45,4,8,58.249998,16827007.690440
46,4,7,58.709442,46554355.749079
47,4,7,58.831941,49385510.357877
48,4,6,60.131287,57590036.464535
49,4,6,60.960457,57669071.980842
50,4,7,61.226384,51377904.422750
51,4,6,61.965090,57695498.251418
52,4,5,63.401523,35453120.838552
53,4,6,64.692846,59754866.805693
54,4,8,65.716541,17416763.738774
55,4,6,67.509258,71706662.221192
56,4,6,68.229741,79882881.554812
57,4,6,68.337709,79909329.369203
58,4,8,68.432890,19428714.659843
59,4,6,71.236939,79941347.965448
60,4,7,71.337143,66188610.912829
61,4,6,72.021285,79964402.726314
62,4,8,72.682368,19459729.729939
63,4,5,73.824829,47389768.297029
64,4,6,73.838277,82013117.377692
65,4,6,74.543544,82040322.951315
66,4,7,75.867260,66272389.640340
67,4,6,78.267095,94188068.479614
68,4,5,78.320744,59263783.634822
68,4,5,90.320744,86216125.183873
68,4,5,102.320744,134512443.789086
68,4,5,114.320744,170034034.663973
68,4,5,126.320744,186864710.893628
69,4,7,80.927831,80195282.190686
70,4,5,81.619565,73912852.503253
71,4,5,82.576308,74011938.639688
72,4,5,83.859751,74098170.870605
73,4,7,83.949875,88240770.002345
74,4,7,84.585230,90155641.569111
